acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.385,https://api.spotify.com/v1/audio-analysis/670VnFenupa7zJuXINRl5W,0.695,242875,0.56,670VnFenupa7zJuXINRl5W,1.01e-05,6,0.16,-7.189,0,0.0549,1,127.972,4,https://api.spotify.com/v1/tracks/670VnFenupa7zJuXINRl5W,audio_features,spotify:track:670VnFenupa7zJuXINRl5W,0.302
0.24,https://api.spotify.com/v1/audio-analysis/1VqW4bCPHCOAc3AvmLCvNr,0.722,280000,0.508,1VqW4bCPHCOAc3AvmLCvNr,0.00129,2,0.0703,-7.691,0,0.195,1,89.995,4,https://api.spotify.com/v1/tracks/1VqW4bCPHCOAc3AvmLCvNr,audio_features,spotify:track:1VqW4bCPHCOAc3AvmLCvNr,0.283
0.000224,https://api.spotify.com/v1/audio-analysis/12KVKv8OyA4mjlrVr4CbHf,0.943,361967,0.435,12KVKv8OyA4mjlrVr4CbHf,0.834,11,0.126,-7.175,0,0.0649,1,121.992,4,https://api.spotify.com/v1/tracks/12KVKv8OyA4mjlrVr4CbHf,audio_features,spotify:track:12KVKv8OyA4mjlrVr4CbHf,0.229
0.153,https://api.spotify.com/v1/audio-analysis/03IxJiB8ZOH9hEQZF5mCNY,0.725,230400,0.918,03IxJiB8ZOH9hEQZF5mCNY,0.0328,10,0.113,-4.912,0,0.0676,1,125.009,4,https://api.spotify.com/v1/tracks/03IxJiB8ZOH9hEQZF5mCNY,audio_features,spotify:track:03IxJiB8ZOH9hEQZF5mCNY,0.201
0.689,https://api.spotify.com/v1/audio-analysis/1BczdgS6s8ofRNMZPtbMF1,0.833,185075,0.477,1BczdgS6s8ofRNMZPtbMF1,0.000927,3,0.095,-9.489,0,0.04,1,109.989,1,https://api.spotify.com/v1/tracks/1BczdgS6s8ofRNMZPtbMF1,audio_features,spotify:track:1BczdgS6s8ofRNMZPtbMF1,0.155
0.147,https://api.spotify.com/v1/audio-analysis/6YTv6dBNH69kruTOLoLmnJ,0.917,236786,0.541,6YTv6dBNH69kruTOLoLmnJ,0.0,11,0.142,-7.645,0,0.125,1,112.035,4,https://api.spotify.com/v1/tracks/6YTv6dBNH69kruTOLoLmnJ,audio_features,spotify:track:6YTv6dBNH69kruTOLoLmnJ,0.487
0.0642,https://api.spotify.com/v1/audio-analysis/6rKmnzp0nUpHvjLK7FXSnP,0.599,203637,0.585,6rKmnzp0nUpHvjLK7FXSnP,0.000207,0,0.0743,-7.284,1,0.0725,1,119.985,4,https://api.spotify.com/v1/tracks/6rKmnzp0nUpHvjLK7FXSnP,audio_features,spotify:track:6rKmnzp0nUpHvjLK7FXSnP,0.214
0.0163,https://api.spotify.com/v1/audio-analysis/6f2O2P8QWAui2uAkXwWojT,0.885,216000,0.733,6f2O2P8QWAui2uAkXwWojT,0.92,7,0.101,-9.293,1,0.0542,1,100.004,4,https://api.spotify.com/v1/tracks/6f2O2P8QWAui2uAkXwWojT,audio_features,spotify:track:6f2O2P8QWAui2uAkXwWojT,0.702
0.225,https://api.spotify.com/v1/audio-analysis/6Mu4qCJy7gp9p8n8MCsW57,0.726,227544,0.646,6Mu4qCJy7gp9p8n8MCsW57,0.0109,9,0.107,-6.595,0,0.032,1,96.01,4,https://api.spotify.com/v1/tracks/6Mu4qCJy7gp9p8n8MCsW57,audio_features,spotify:track:6Mu4qCJy7gp9p8n8MCsW57,0.417
0.0916,https://api.spotify.com/v1/audio-analysis/3OK6KSy59qlJDfdBK1nLIM,0.869,212089,0.566,3OK6KSy59qlJDfdBK1nLIM,0.697,6,0.11,-7.392,0,0.0931,1,120.016,4,https://api.spotify.com/v1/tracks/3OK6KSy59qlJDfdBK1nLIM,audio_features,spotify:track:3OK6KSy59qlJDfdBK1nLIM,0.58
